#Parameters = {R=10001}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
0.050000000745058	-6.9706437661660
0.050149999558926	-7.0863110684905
0.050299998372793	-7.1993643183367
0.050450000911951	-7.3089267034813
0.050599999725819	-7.4143186911659
0.050749998539686	-7.5150873695239
0.050900001078844	-7.6110462362734
0.051049999892712	-7.7022864023820
0.051199998706579	-7.7891743272374
0.051350001245737	-7.8723296185303
0.051500000059605	-7.9525977678617
0.051649998873472	-8.0310000953202
0.051800001412630	-8.1086828775353
0.051950000226498	-8.1868586131104
0.052099999040365	-8.2667498961370
0.052250001579523	-8.3495322233417
0.052400000393391	-8.4362885246631
0.052549999207258	-8.5279648458800
0.052700001746416	-8.6253351975128
0.052850000560284	-8.7289734156094
0.052999999374151	-8.8392379598399
0.053149998188019	-8.9562462968005
0.053300000727177	-9.0798859513295
0.053449999541044	-9.2098072876761
0.053599998354912	-9.3454305776222
0.053750000894070	-9.4859717369626
0.053899999707937	-9.6304585150991
0.054049998521805	-9.7777758514132
0.054200001060963	-9.9267025511102
0.054349999874830	-10.075969994142
0.054499998688698	-10.224318818433
0.054650001227856	-10.370569985476
0.054800000041723	-10.513685714221
0.054949998855591	-10.652834724186
0.055100001394749	-10.787448514546
0.055250000208616	-10.917255752381
0.055399999022484	-11.042312218299
0.055550001561642	-11.163005278297
0.055700000375509	-11.280023523922
0.055849999189377	-11.394333678550
0.056000001728535	-11.507128654135
0.056150000542402	-11.619759189901
0.056299999356270	-11.733674441891
0.056449998170137	-11.850346664630
0.056600000709295	-11.971212595760
0.056749999523163	-12.097615518841
0.056899998337030	-12.230749279966
0.057050000876188	-12.371619428255
0.057199999690056	-12.521009292775
0.057349998503923	-12.679449727661
0.057500001043081	-12.847207352768
0.057649999856949	-13.024267501463
0.057799998670816	-13.210329353350
0.057950001209974	-13.404811924687
0.058100000023842	-13.606863739743
0.058249998837709	-13.815380383833
0.058400001376867	-14.029042725919
0.058550000190735	-14.246355499200
0.058699999004602	-14.465707670799
0.058850001543760	-14.685444041311
0.059000000357628	-14.903945182250
0.059149999171495	-15.119717216566
0.059300001710653	-15.331483370871
0.059450000524521	-15.538267530356
0.059599999338388	-15.739465586358
0.059749998152256	-15.934894871856
0.059900000691414	-16.124816257505
0.060049999505281	-16.309929619481
0.060199998319149	-16.491333123483
0.060350000858307	-16.670462897343
0.060499999672174	-16.849018673464
0.060649998486042	-17.028864366166
0.060800001025200	-17.211944157852
0.060949999839067	-17.400184582096
0.061099998652935	-17.595419972751
0.061250001192093	-17.799318087913
0.061400000005960	-18.013320295207
0.061549998819828	-18.238594920401
0.061700001358986	-18.475999150069
0.061850000172853	-18.726045057326
0.061999998986721	-18.988872697081
0.062150001525879	-19.264233046010
0.062300000339746	-19.551467184005
0.062449999153614	-19.849490641282
0.062600001692772	-20.156785166953
0.062749996781349	-20.471400248557
0.062899999320507	-20.790956833323
0.063050001859665	-21.112671920501
0.063199996948242	-21.433399372931
0.063349999487400	-21.749692610182
0.063500002026558	-22.057887119806
0.063649997115135	-22.354207407728
0.063799999654293	-22.634901717920
0.063950002193451	-22.896371818733
0.064099997282028	-23.135312106852
0.064249999821186	-23.348842888424
0.064400002360344	-23.534610136860
0.064549997448921	-23.690860610343
0.064699999988079	-23.816484311921
0.064850002527237	-23.911010100752
0.064999997615814	-23.974593043909
0.065150000154972	-24.007969243080
0.065300002694130	-24.012394242750
0.065449997782707	-23.989585596812
0.065600000321865	-23.941652179228
0.065750002861023	-23.871012534118
0.065899997949600	-23.780321684324
0.066050000488758	-23.672383272045
0.066200003027916	-23.550047136640
0.066349998116493	-23.416129545023
0.066500000655651	-23.273312499087
0.066650003194809	-23.124059112263
0.066799998283386	-22.970543269243
0.066950000822544	-22.814580027625
0.067100003361702	-22.657589829651
0.067249998450279	-22.500560773386
0.067400000989437	-22.344049016053
0.067550003528595	-22.188177625195
0.067699998617172	-22.032669486885
0.067850001156330	-21.876897666941
0.068000003695488	-21.719942426237
0.068149998784065	-21.560680049913
0.068300001323223	-21.397879836967
0.068449996411800	-21.230313842678
0.068599998950958	-21.056862085813
0.068750001490116	-20.876626941519
0.068899996578693	-20.689017319667
0.069049999117851	-20.493823173259
0.069200001657009	-20.291248091226
0.069349996745586	-20.081921480952
0.069499999284744	-19.866862495670
0.069650001823902	-19.647427925412
0.069799996912479	-19.425229844716
0.069949999451637	-19.202048392871
0.070100001990795	-18.979734043999
0.070249997079372	-18.760117788393
0.070399999618530	-18.544935249562
0.070550002157688	-18.335754040185
0.070699997246265	-18.133929705823
0.070849999785423	-17.940561929463
0.071000002324581	-17.756473016568
0.071149997413158	-17.582195860689
0.071299999952316	-17.417968716077
0.071450002491474	-17.263740400613
0.071599997580051	-17.119186324732
0.071750000119209	-16.983720376609
0.071900002658367	-16.856523362983
0.072049997746944	-16.736576613171
0.072200000286102	-16.622699645073
0.072350002825260	-16.513591781870
0.072499997913837	-16.407892074888
0.072650000452995	-16.304227226735
0.072800002992153	-16.201283617098
0.072949998080730	-16.097856631316
0.073100000619888	-15.992916571687
0.073250003159046	-15.885654584845
0.073399998247623	-15.775518742389
0.073550000786781	-15.662240266192
0.073700003325939	-15.545840992033
0.073849998414516	-15.426617346702
0.074000000953674	-15.305118033344
0.074150003492832	-15.182093373938
0.074299998581409	-15.058454360571
0.074450001120567	-14.935211399223
0.074600003659725	-14.813411505060
0.074749998748302	-14.694095201146
0.074900001287460	-14.578230294379
0.075049996376038	-14.466677973454
0.075199998915195	-14.360159135587
0.075350001454353	-14.259219013656
0.075499996542931	-14.164220010556
0.075649999082088	-14.075323687036
0.075800001621246	-13.992492152435
0.075949996709824	-13.915494170564
0.076099999248981	-13.843917278799
0.076250001788139	-13.777182486167
0.076399996876717	-13.714578952628
0.076549999415874	-13.655282437455
0.076700001955032	-13.598401164537
0.076849997043610	-13.543010638525
0.076999999582767	-13.488200117240
0.077150002121925	-13.433116277503
0.077299997210503	-13.376995904581
0.077449999749660	-13.319220044840
0.077600002288818	-13.259324595404
0.077749997377396	-13.197039135060
0.077899999916553	-13.132291214854
0.078050002455711	-13.065198904451
0.078199997544289	-12.996068838916
0.078350000083447	-12.925367505384
0.078500002622604	-12.853694155966
0.078649997711182	-12.781737260971
0.078800000250340	-12.710242727128
0.078950002789497	-12.639967169900
0.079099997878075	-12.571639284282
0.079250000417233	-12.505928741783
0.079400002956390	-12.443408061419
0.079549998044968	-12.384534383522
0.079700000584126	-12.329628811376
0.079850003123283	-12.278864034731
0.079999998211861	-12.232259164659
0.080150000751019	-12.189679868334
0.080300003290176	-12.150849401832
0.080449998378754	-12.115358011098
0.080600000917912	-12.082682811321
0.080750003457069	-12.052212331979
0.080899998545647	-12.023276893418
0.081050001084805	-11.995176464359
0.081200003623962	-11.967214931938
0.081349998712540	-11.938738393882
0.081500001251698	-11.909161481101
0.081649996340275	-11.878008205340
0.081799998879433	-11.844922226766
0.081950001418591	-11.809693824539
0.082099996507168	-11.772267550986
0.082249999046326	-11.732740781398
0.082400001585484	-11.691356919177
0.082549996674061	-11.648487933955
0.082699999213219	-11.604611207444
0.082850001752377	-11.560281626499
0.082999996840954	-11.516100718077
0.083149999380112	-11.472680440738
0.083300001919270	-11.430615661694
0.083449997007847	-11.390454416821
0.083599999547005	-11.352667322130
0.083750002086163	-11.317635109588
0.083899997174740	-11.285622531473
0.084049999713898	-11.256772711809
0.084200002253056	-11.231104156947
0.084349997341633	-11.208508121019
0.084499999880791	-11.188752450965
0.084650002419949	-11.171500323027
0.084799997508526	-11.156318761689
0.084950000047684	-11.142702925914
0.085100002586842	-11.130100973723
0.085249997675419	-11.117937193868
0.085400000214577	-11.105648390121
0.085550002753735	-11.092703100315
0.085699997842312	-11.078631894436
0.085850000381470	-11.063061159105
0.086000002920628	-11.045715687370
0.086149998009205	-11.026449590164
0.086300000548363	-11.005240525123
0.086450003087521	-10.982197222041
0.086599998176098	-10.957549106173
0.086750000715256	-10.931632126600
0.086900003254414	-10.904867953691
0.087049998342991	-10.877740483742
0.087200000882149	-10.850775205307
0.087350003421307	-10.824499712581
0.087499998509884	-10.799426236883
0.087650001049042	-10.776026020873
0.087800003588200	-10.754698551898
0.087949998676777	-10.735765666554
0.088100001215935	-10.719449232160
0.088249996304512	-10.705862584089
0.088399998843670	-10.695010500902
0.088550001382828	-10.686785655106
0.088699996471405	-10.680976562628
0.088849999010563	-10.677276628090
0.089000001549721	-10.675299323713
0.089149996638298	-10.674597629005
0.089299999177456	-10.674679950458
0.089450001716614	-10.675046451460
0.089599996805191	-10.675199744034
0.089749999344349	-10.674680592926
0.089900001883507	-10.673086950884
0.090049996972084	-10.670095852751
0.090199999511242	-10.665479693980
0.090350002050400	-10.659121634679
0.090499997138977	-10.651015016502
0.090649999678135	-10.641271486115
0.090800002217293	-10.630101703656
0.090949997305870	-10.617816894896
0.091099999845028	-10.604797874016
0.091250002384186	-10.591485210207
0.091399997472763	-10.578349375937
0.091550000011921	-10.565861788915
0.091700002551079	-10.554482266224
0.091849997639656	-10.544628985046
0.092000000178814	-10.536658529828
0.092150002717972	-10.530849867203
0.092299997806549	-10.527393274872
0.092450000345707	-10.526383755462
0.092600002884865	-10.527808840462
0.092749997973442	-10.531559411761
0.092900000512600	-10.537428408398
0.093050003051758	-10.545123211563
0.093199998140335	-10.554274495766
0.093350000679493	-10.564461427506
0.093500003218651	-10.575220002533
0.093649998307228	-10.586083019948
0.093800000846386	-10.596581039044
0.093950003385544	-10.606285794878
0.094099998474121	-10.614819910048
0.094250001013279	-10.621880858879
0.094400003552437	-10.627256904550
0.094549998641014	-10.630836007986
0.094700001180172	-10.632613784505
0.094850003719330	-10.632692728774
0.094999998807907	-10.631271499413
0.095150001347065	-10.628640543947
0.095299996435642	-10.625157863649
0.095449998974800	-10.621238356722
0.095600001513958	-10.617319109276
0.095749996602535	-10.613848134349
0.095899999141693	-10.611260153013
0.096050001680851	-10.609945900837
0.096199996769428	-10.610241834657
0.096349999308586	-10.612412913240
0.096500001847744	-10.616638256684
0.096649996936321	-10.623002228746
0.096799999475479	-10.631490564550
0.096950002014637	-10.641997616185
0.097099997103214	-10.654318416552
0.097249999642372	-10.668169709754
0.097400002181530	-10.683192055766
0.097549997270107	-10.698972796820
0.097699999809265	-10.715066144923
0.097850002348423	-10.731007438331
0.097999997437000	-10.746343035783
0.098149999976158	-10.760647586976
0.098300002515316	-10.773550667597
0.098449997603893	-10.784748940090
0.098600000143051	-10.794027007499
0.098750002682209	-10.801270406120
0.098899997770786	-10.806463027620
0.099050000309944	-10.809696045111
0.099200002849102	-10.811154464227
0.099349997937679	-10.811113993144
0.099500000476837	-10.809920008774
0.099650003015995	-10.807971640498
0.099799998104572	-10.805696372384
0.099950000643730	-10.803531634345
0.10010000318289	-10.801905252539
0.10024999827147	-10.801203646734
0.10040000081062	-10.801766589888
0.10055000334978	-10.803859367827
0.10069999843836	-10.807667800690
0.10085000097752	-10.813286318664
0.10100000351667	-10.820713576318
0.10114999860525	-10.829853500595
0.10130000114441	-10.840516766326
0.10145000368357	-10.852432029285
0.10159999877214	-10.865255318693
0.10175000131130	-10.878585460158
0.10189999639988	-10.891979734026
0.10204999893904	-10.904983974547
0.10220000147820	-10.917142614470
0.10234999656677	-10.928029741409
0.10249999910593	-10.937264108690
0.10265000164509	-10.944532444647
0.10279999673367	-10.949607575847
0.10294999927282	-10.952351725202
0.10310000181198	-10.952731846527
0.10324999690056	-10.950818843097
0.10339999943972	-10.946779471641
0.10355000197887	-10.940870179855
0.10369999706745	-10.933424336862
0.10384999960661	-10.924828392806
0.10400000214577	-10.915507290476
0.10414999723434	-10.905898733167
0.10429999977350	-10.896436110611
0.10445000231266	-10.887520840613
0.10459999740124	-10.879507543977
0.10474999994040	-10.872684991297
0.10490000247955	-10.867266880175
0.10504999756813	-10.863375040038
0.10520000010729	-10.861043217519
0.10535000264645	-10.860207556329
0.10549999773502	-10.860709645318
0.10565000027418	-10.862310931145
0.10580000281334	-10.864691626917
0.10594999790192	-10.867474413853
0.10610000044107	-10.870236361858
0.10625000298023	-10.872532224455
0.10639999806881	-10.873905913077
0.10655000060797	-10.873930937692
0.10670000314713	-10.872213583339
0.10684999823570	-10.868419504287
0.10700000077486	-10.862296991773
0.10715000331402	-10.853681086098
0.10729999840260	-10.842504609073
0.10745000094175	-10.828807677094
0.10760000348091	-10.812726176663
0.10774999856949	-10.794491996903
0.10790000110865	-10.774412558893
