#Parameters = {ApertureA=7300; ApertureB=6000; Horn_Height=7300; ProbeHeight=1333; ProbeL=2000; ProbeR=23.5; ProbeRin=69.2; ProbeRout=72; R=10000; Thickness=3; WGH=3200; WGL=3000; WGW=2000}
#"Frequency / GHz"	"S1,1 (1) [Magnitude / dB]"
#---------------------------------------------
0.050000000745058	-3.1677790960377
0.050050001591444	-3.2105500956998
0.050099998712540	-3.2538616902078
0.050149999558926	-3.2977104202405
0.050200000405312	-3.3420913095335
0.050250001251698	-3.3870027952420
0.050299998372793	-3.4324401979426
0.050349999219179	-3.4784056949381
0.050400000065565	-3.5249016370740
0.050450000911951	-3.5719289812485
0.050500001758337	-3.6194966111547
0.050549998879433	-3.6676090281969
0.050599999725819	-3.7162789119835
0.050650000572205	-3.7655140226053
0.050700001418591	-3.8153307858983
0.050749998539686	-3.8657436523025
0.050799999386072	-3.9167700297670
0.050850000232458	-3.9684249878040
0.050900001078844	-4.0207341036754
0.050949998199940	-4.0737152000576
0.050999999046326	-4.1273894465495
0.051049999892712	-4.1817853615250
0.051100000739098	-4.2369261010986
0.051150001585484	-4.2928341210044
0.051199998706579	-4.3495372489563
0.051249999552965	-4.4070625610921
0.051300000399351	-4.4654341668785
0.051350001245737	-4.5246776231710
0.051399998366833	-4.5848218944920
0.051449999213219	-4.6458871348696
0.051500000059605	-4.7078995400074
0.051550000905991	-4.7708812058803
0.051600001752377	-4.8348563422532
0.051649998873472	-4.8998405129723
0.051699999719858	-4.9658571846665
0.051750000566244	-5.0329177772793
0.051800001412630	-5.1010391735846
0.051849998533726	-5.1702360342749
0.051899999380112	-5.2405142704524
0.051950000226498	-5.3118843373002
0.052000001072884	-5.3843503757432
0.052049998193979	-5.4579135583313
0.052099999040365	-5.5325776461781
0.052149999886751	-5.6083345848416
0.052200000733137	-5.6851825487035
0.052250001579523	-5.7631124737776
0.052299998700619	-5.8421120132876
0.052349999547005	-5.9221659245771
0.052400000393391	-6.0032597003108
0.052450001239777	-6.0853722244165
0.052499998360872	-6.1684836030505
0.052549999207258	-6.2525662095551
0.052600000053644	-6.3375954560036
0.052650000900030	-6.4235399482435
0.052700001746416	-6.5103704593060
0.052749998867512	-6.5980518243079
0.052799999713898	-6.6865481411416
0.052850000560284	-6.7758243155454
0.052900001406670	-6.8658385176480
0.052949998527765	-6.9565536531533
0.052999999374151	-7.0479268937579
0.053050000220537	-7.1399176131846
0.053100001066923	-7.2324798855154
0.053149998188019	-7.3255725602888
0.053199999034405	-7.4191493359617
0.053249999880791	-7.5131673231649
0.053300000727177	-7.6075796291149
0.053350001573563	-7.7023411015167
0.053399998694658	-7.7974080935839
0.053449999541044	-7.8927360901402
0.053500000387430	-7.9882767940788
0.053550001233816	-8.0839891743388
