#Parameters = {R=10001}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
0.050000000745058	-6.7217119090150
0.050149999558926	-6.8191823116643
0.050299998372793	-6.9222290474881
0.050450000911951	-7.0305335124019
0.050599999725819	-7.1435679920230
0.050749998539686	-7.2606123815041
0.050900001078844	-7.3807838358852
0.051049999892712	-7.5030662859675
0.051199998706579	-7.6263560642108
0.051350001245737	-7.7495138779674
0.051500000059605	-7.8714169549896
0.051649998873472	-7.9910195991837
0.051800001412630	-8.1074147346653
0.051950000226498	-8.2198813284766
0.052099999040365	-8.3279408948907
0.052250001579523	-8.4313782781198
0.052400000393391	-8.5302680128331
0.052549999207258	-8.6249669591358
0.052700001746416	-8.7161037073956
0.052850000560284	-8.8045366916339
0.052999999374151	-8.8913113484799
0.053149998188019	-8.9776033429819
0.053300000727177	-9.0646638813515
0.053449999541044	-9.1537487214596
0.053599998354912	-9.2460708634741
0.053750000894070	-9.3427428714436
0.053899999707937	-9.4447339836715
0.054049998521805	-9.5528317639426
0.054200001060963	-9.6676138900611
0.054349999874830	-9.7894269100877
0.054499998688698	-9.9183730300097
0.054650001227856	-10.054306335060
0.054800000041723	-10.196827298184
0.054949998855591	-10.345306121041
0.055100001394749	-10.498890852633
0.055250000208616	-10.656544592636
0.055399999022484	-10.817078094766
0.055550001561642	-10.979205850219
0.055700000375509	-11.141601778833
0.055849999189377	-11.302964002668
0.056000001728535	-11.462092896403
0.056150000542402	-11.617955206663
0.056299999356270	-11.769753838098
0.056449998170137	-11.916985852957
0.056600000709295	-12.059472924309
0.056749999523163	-12.197390956870
0.056899998337030	-12.331259264029
0.057050000876188	-12.461918280841
0.057199999690056	-12.590486269021
0.057349998503923	-12.718298171472
0.057500001043081	-12.846833315122
0.057649999856949	-12.977651196859
0.057799998670816	-13.112305793154
0.057950001209974	-13.252294998796
0.058100000023842	-13.398982897901
0.058249998837709	-13.553561391931
0.058400001376867	-13.717001237145
0.058550000190735	-13.890020676876
0.058699999004602	-14.073062454493
0.058850001543760	-14.266269523368
0.059000000357628	-14.469483251190
0.059149999171495	-14.682235219691
0.059300001710653	-14.903755267485
0.059450000524521	-15.132984447958
0.059599999338388	-15.368607285759
0.059749998152256	-15.609086121775
0.059900000691414	-15.852718649518
0.060049999505281	-16.097710787943
0.060199998319149	-16.342256463730
0.060350000858307	-16.584636649759
0.060499999672174	-16.823318230570
0.060649998486042	-17.057054257953
0.060800001025200	-17.284967843184
0.060949999839067	-17.506620280941
0.061099998652935	-17.722045037562
0.061250001192093	-17.931752947738
0.061400000005960	-18.136701709270
0.061549998819828	-18.338231265885
0.061700001358986	-18.537977990867
0.061850000172853	-18.737773278636
0.061999998986721	-18.939537829587
0.062150001525879	-19.145173421685
0.062300000339746	-19.356469009336
0.062449999153614	-19.575009262927
0.062600001692772	-19.802110075262
0.062749996781349	-20.038752520205
0.062899999320507	-20.285533247888
0.063050001859665	-20.542627719478
0.063199996948242	-20.809757100069
0.063349999487400	-21.086157155487
0.063500002026558	-21.370561319980
0.063649997115135	-21.661180519022
0.063799999654293	-21.955700508623
0.063950002193451	-22.251281939879
0.064099997282028	-22.544584099700
0.064249999821186	-22.831805802080
0.064400002360344	-23.108759164519
0.064549997448921	-23.370967189374
0.064699999988079	-23.613806108294
0.064850002527237	-23.832678043108
0.064999997615814	-24.023211700757
0.065150000154972	-24.181486103123
0.065300002694130	-24.304235294625
0.065449997782707	-24.389064914722
0.065600000321865	-24.434581755317
0.065750002861023	-24.440494809117
0.065899997949600	-24.407627370403
0.066050000488758	-24.337852419316
0.066200003027916	-24.233965784833
0.066349998116493	-24.099504090170
0.066500000655651	-23.938538481280
0.066650003194809	-23.755453448205
0.066799998283386	-23.554745237013
0.066950000822544	-23.340829166823
0.067100003361702	-23.117899653066
0.067249998450279	-22.889803521724
0.067400000989437	-22.659958176026
0.067550003528595	-22.431301514966
0.067699998617172	-22.206254815561
0.067850001156330	-21.986721097090
0.068000003695488	-21.774073579230
0.068149998784065	-21.569186357471
0.068300001323223	-21.372451653621
0.068449996411800	-21.183803370866
0.068599998950958	-21.002771082052
0.068750001490116	-20.828513800783
0.068899996578693	-20.659889398061
0.069049999117851	-20.495504626482
0.069200001657009	-20.333811922236
0.069349996745586	-20.173182550146
0.069499999284744	-20.012008297301
0.069650001823902	-19.848796961268
0.069799996912479	-19.682268288341
0.069949999451637	-19.511433694109
0.070100001990795	-19.335665980909
0.070249997079372	-19.154738089082
0.070399999618530	-18.968835570073
0.070550002157688	-18.778535820668
0.070699997246265	-18.584771519617
0.070849999785423	-18.388756044656
0.071000002324581	-18.191909791519
0.071149997413158	-17.995769260794
0.071299999952316	-17.801900867395
0.071450002491474	-17.611825782703
0.071599997580051	-17.426946206306
0.071750000119209	-17.248489839000
0.071900002658367	-17.077473942000
0.072049997746944	-16.914663781386
0.072200000286102	-16.760565568961
0.072350002825260	-16.615412925169
0.072499997913837	-16.479168175631
0.072650000452995	-16.351532355564
0.072800002992153	-16.231965891496
0.072949998080730	-16.119708811027
0.073100000619888	-16.013813309588
0.073250003159046	-15.913180576385
0.073399998247623	-15.816610612375
0.073550000786781	-15.722852472287
0.073700003325939	-15.630658669499
0.073849998414516	-15.538841276493
0.074000000953674	-15.446333396103
0.074150003492832	-15.352242328389
0.074299998581409	-15.255884650634
0.074450001120567	-15.156828061177
0.074600003659725	-15.054909192002
0.074749998748302	-14.950222947129
0.074900001287460	-14.843120720442
0.075049996376038	-14.734170308787
0.075199998915195	-14.624122473138
0.075350001454353	-14.513853561389
0.075499996542931	-14.404317520504
0.075649999082088	-14.296487034671
0.075800001621246	-14.191301297929
0.075949996709824	-14.089623427252
0.076099999248981	-13.992200918445
0.076250001788139	-13.899629626366
0.076399996876717	-13.812335182667
0.076549999415874	-13.730559527615
0.076700001955032	-13.654350986028
0.076849997043610	-13.583568827452
0.076999999582767	-13.517888983997
0.077150002121925	-13.456825393835
0.077299997210503	-13.399746348162
0.077449999749660	-13.345906062328
0.077600002288818	-13.294480971703
0.077749997377396	-13.244602419952
0.077899999916553	-13.195405783875
0.078050002455711	-13.146065896755
0.078199997544289	-13.095844187606
0.078350000083447	-13.044121366443
0.078500002622604	-12.990435171853
0.078649997711182	-12.934493118840
0.078800000250340	-12.876197059619
0.078950002789497	-12.815635467384
0.079099997878075	-12.753077860835
0.079250000417233	-12.688952618068
0.079400002956390	-12.623816172902
0.079549998044968	-12.558324434670
0.079700000584126	-12.493182404337
0.079850003123283	-12.429118449185
0.079999998211861	-12.366830977748
0.080150000751019	-12.306964236301
0.080300003290176	-12.250070157283
0.080449998378754	-12.196588913923
0.080600000917912	-12.146824130515
0.080750003457069	-12.100935662945
0.080899998545647	-12.058936271756
0.081050001084805	-12.020683005578
0.081200003623962	-11.985898469252
0.081349998712540	-11.954172168760
0.081500001251698	-11.924987320841
0.081649996340275	-11.897747584424
0.081799998879433	-11.871797650403
0.081950001418591	-11.846463523778
0.082099996507168	-11.821081679744
